S0	friends atdinner
S1311	A women holds a small dog on a leash with chairs in the background.
S1312	Cute redhead walking a puppy
S1313	The girl stands holding leash attached to a small dog.
S1314	The small dog protects its owner.
S1315	A row of brightly colored plant pots under a blue sky.
S1316	A row of potted plants on top of a railing.
S1317	Collection of pots sitting on house ledge.
S1318	Line of pots on top of a wall in front of a terracotta roof.
S1319	There are a row of different looking flower pots on a fence ledge in front a house.
S1320	A comical preying mantis sits with other plants on the table.
S1321	A costume of a venue fly trap is near flowers.
S1322	A scene of a plant store containing a monster piranha plant.
S1323	Some plants, with a stuffed dinosaur head in the background.
S1324	The plant from Little Shop of Horrors threatens an actor playing Seymour
S1325	A potted plant with only a few sprouting
S1326	Birds-eye view of a potted plant.
S1327	Newly sprouted plants in a pot.
S1328	Soil in a terracotta pot with green fertilizer pellets on top.
S1329	Tiny green plants are growing in a terra cotta pot of dirt.
S1330	A small house with a broken door and windows.
S1331	Rundown house with door falling down.
S1332	The dilapidated house seems to have things growing out of it.
S1333	the front of a small abandoned house
S1334	White abandoned house with overgrown vines.
S1335	A unique living room with tv, brown table, green and brown walls, and white chairs.
S1336	A very retro living room with a television in it.
S1337	Modern room with TV in a round brown frame.
S1338	Television encased in a wood frame in a lobby.
S1339	There is a TV with a wooden oval frame in a modern room.
S1340	A black and white cat along with a purple African violet plant atop a windowsill.
S1341	A black and white cat is lying on a windowsill with a cyclamen in a pot next to it.
S1342	A black and white cat is sleeping next to a plant in the window.
S1343	A cat sleeps on a window sill next to a flowering plant.
S1344	Large black and white cat resting on a windowsill.
S1345	A small tree and a plant inside a pot.
S1346	A small tree is blooming.
S1347	There is a flowering bush.
S1348	The shaded bush awaits the sunlight.
S1349	The small tree has some flower blossoms.
S1350	A back porch in the rain.
S1351	A patio with a chair is beside a tool shed.
S1352	A small yard with plants and a green plastic chair.
S1353	Hail stone-covered patio outside.
S1354	There is a green chair on a deck along with some potted plants.
S1355	A boy pointing at another boy at the table.
S1356	A boy points at the other boy sitting across the table from him.
S1357	Two boys sit facing one another at a table and one points at the other.
S1358	Two people sit facing each other at a table as one points at the other.
S1359	Two young people are sitting at a table next to a sliding glass door, with one person pointing at the other.
S1360	The two men are standing next to their bicycles in front of the building.
S1361	Two men in bike riding clothing standing by their bikes.
S1362	Two men in biking uniforms looking off into the distance
S1363	Two men stand with their bicycles outside a shop.
S1364	Two men wearing bike helmets.
S1365	A plant growing in a pot.
S1366	A plant sprouting.
S1367	Small plant in dirt with a couple of new leaves.
S1368	The green leaved plant is growing in the dirt.
S1369	Two bamboo shoots grow in a turquoise bowl.
S1370	A potted plant with only two leaves sprouted.
S1371	A seedling in a terracotta pot.
S1372	A sprouting plant in a ceramic pot in front of a window.
S1373	A tiny plant is growing in a terra cotta pot of dirt.
S1374	New plant growth in red clay pot.
S1375	A man sits on the couch and uses his laptop in a living room.
S1376	A man sitting in a cluttered room.
S1377	An elderly man works on his laptop at home.
S1378	Man with laptop computer sitting on a couch in a small room.
S1379	Older gentleman sitting on couch with laptop.
S1380	A close-up of a house with yellow siding, shutters, and flowers.
S1381	A quaint yellow house with brown shutters and flowers all around.
S1382	A small yellow and purple house.
S1383	Colorful flowers grow in a beige bungalow's neatly kept yard.
S1384	The yellow house has a beautiful garden.
S1385	A dog laying down.
S1386	A furry dog lying on a glass table.
S1387	A small brown dog.
S1388	Small brown fluffy dog sitting on a glass surface.
S1389	Small, long-haired dog sitting on the glass table top.
S1390	A group of four people walking past a giant mushroom.
S1391	A number of people in winter clothing walk among a pair of sculptures.
S1392	Crowd of people walking past a giant mushroom.
S1393	People under a giant mushroom.
S1394	People walk at a theme park.
S1395	A brown and white dog poses near a fruit tree in a container pot.
S1396	A brown and white dog stands and looks at the camera.
S1397	A dog with large ears looks up at the camera while next to a small bush.
S1398	the white and brown dog is excited to go on a walk in the sunshine
S1399	Young basset hound standing on patio looking at camera.
S1400	A close up of a potted plant.
S1401	A large green plant stork sitting in a large ceramic pot.
S1402	A plant grows inside a clay pot next to a Buddha figurine.
S1403	The stem of a plant in a terracotta pot with a little Buddha shot from above.
S1404	This is the green stem of a potted plant.
S1405	Assorted small potted plants labeled on shelves.
S1406	A variety of desert plants
S1407	Cacti and other desert plants on a two shelves.
S1408	Several plants, mostly cacti, are lined up on two shelves.
S1409	Small plants arranged on a shelf with labels for each.
S1410	A happy man in a blue shirt is standing in front of a fountain.
S1411	A man in a blue shirt and tan pants is standing in front of a statue of a man, which is in a cobble stone paved plaza.
S1412	A man is standing in front of a raised statue,
S1413	A man poses in front of a large fountain with a statue on top.
S1414	Man with blue shirt standing in front of a fountain.
S1415	Three dark haired young women in white, red and black sweaters.
S1416	Three females wearing sweaters line up in the living room.
S1417	Three woman posing for a picture in a home
S1418	Three women wearing white, red, and black are smiling at the camera in a living room.
S1419	Three young women standing in a room together.
S1420	Herbs grow in terra cotta plants on a balcony.
S1421	There are two plants in on the window sill overlooking a silver car.
S1422	Two potted plants are sitting on a windowbox outside the window with a car visible on the street below.
S1423	Two potted plants outside a window.
S1424	Two potted plants outside a window overlooking a grey car parked on the street.
S1425	A courtyard with a small pagoda in the center.
S1426	A gazebo in front and other building with arched roofs behind.
S1427	An artfully designed building.
S1428	A pavilion with a man walking across it.
S1429	The outside of a building with a small black gazebo in front.
S1430	Art items on a table.
S1431	A women painting a chair with a dining room in the background.
S1432	Someone is doing artwork and their are art supplies on the table.
S1433	This person has a table full of crafting supplies at her disposal.
S1434	Various art supplies on a table.
S1435	A metallic and ceramic dolphin sculpture in a mall.
S1436	A mosaic glass sculpture of a whale sits in mall.
S1437	A sculpture of a dolphin inside a building.
S1438	A sculpture of a whale in an indoor area.
S1439	Glass whale statue in lobby of a building.
S1440	A living with pink walls.
S1441	A room with pink walls, a kitchen table, pink couch, and other furniture.
S1442	Dining room of a house with a white dining room set on and a pink chair
S1443	Room with pink chair and pink wall paint.
S1444	The room is decorated with pink walls and furniture.
S1445	A man in a striped shirt standing in front of a train in a large station.
S1446	A man stands in front of a train.
S1447	A man walking away from a shuttle.
S1448	An old man with a train
S1449	The man is posing in front of a modern locomotive.
S1450	A lone sheep walking through the woods.
S1451	A sheep in the morning mist with trees in the background.
S1452	A sheep standing on a hill at sunset.
S1453	a white sheep on the grass in front of trees
S1454	White sheep standing on grass in the morning.
S1455	A black and tan dog looks at a black sheep.
S1456	A black dog is staring at a sheep.
S1457	A black dog looking at a brown sheep in a pen.
S1458	A large dog stands next to a sheep in a field.
S1459	The dog is looking at the sheep.
S1460	A large field containing a group of sheep with trees in the distance.
S1461	Several sheep wander in a field.
S1462	Sheep are grazing in a grassy field near a stand of trees.
S1463	Sheep are grazing in the field in front of a line of trees.
S1464	Sheep graze on the grass.
S1465	A sheep stands alone in an empty bus stop.
S1466	A sheep stands in a glass enclosure near the side of a road.
S1467	A sheep stands inside a clear glass bus stop area in the countryside.
S1468	In a rural area, a white goat trimmed in black stands in a bus shelter, apparently waiting.
S1469	The sheep is white and black and is at a bus stop.
S1470	A sheep
S1471	A sheep standing angst wild flowers and grasses.
S1472	A white sheep standing on a field next to wild flowers
S1473	The white sheep is standing next to the plant.
S1474	Two lambs stand on a grassy hill.
S1475	A blonde girl sits on the side of a mountain next to a sheep.
S1476	A girl in a pink sweatshirt sits on a mountain near a sheep.
S1477	A woman in the mountains being approached by a sheep
S1478	A woman looking at a sheep on top of a cliff.
S1479	a woman sitting next to a white sheep on a green cliff
S1480	A ewe standing guard over her two newborn lambs.
S1481	A lamb stands near two tiny animals.
S1482	A sheep standing near her children.
S1483	A white lamb in a pin with her new born babies.
S1484	The baby sheep are protected by their mother.
S1485	A dog chasing its prey through a field of grass
S1486	Sheep being herded by black and white dog.
S1487	The dog is herding three sheep.
S1488	Three goats are being rounded up by a dog.
S1489	Three goats are chased by a dog.
S1490	A adult and two young sheep in a field
S1491	Adult sheep with 2 lambs are walking through the grass field.
S1492	A sheep with two lambs in a green pasture.
S1493	sheep standing in afield
S1494	Three sheep standing in a line in the green grass.
S1495	A baby white sheep in a wooden enclosure.
S1496	A lamb smelling wood.
S1497	A white lamb with its nose against a wooden box.
S1498	Little white lamb with nose to wood.
S1499	White lamb smelling wood.
S1500	A sheep beside a road and a lake.
S1501	A sheep is on the edge of a road with a lake and a mountain in the background.
S1502	A sheep stands on a roadside wall overlooking a large lake
S1503	Sheep standing on side of road in grass.
S1504	Two long-haired goats on the road in front of a river and green hills.
S1505	The lamb is looking at the camera.
S1506	There are several sheared sheep in a pen.
S1507	This is an image of freshly sheared sheep.
S1508	Three white sheep in an enclosure.
S1509	White goats in a pen.
S1510	A little white lamb resting.
S1511	A small lab lying down.
S1512	A white kid lying on the ground.
S1513	The baby lamb sits alone.
S1514	This baby lamb's white coat contrasts well with the bare earth floor.
S1515	A domestic animal stands in a pen.
S1516	A sheep standing on a table at auction.
S1517	A tall animal is confined by blue metal fencing.
S1518	White sheep in captivity.
S1519	Woolly sheep at auction house.
S1520	A black sheep and a white sheep stand on grass, but the white one has blue earphones and an spot.
S1521	A white sheep wearing blue headphones with a black sheep behind.
S1522	One white sheep and one black sheep listening to music with headphones.
S1523	Sheep wearing a blue headset.
S1524	Two sheep in a field, one of them wearing headphones.
S1525	An old man with sheep in the background.
S1526	an old shepherd in the mountains
S1527	A picture of a man with some sheep in the background.
S1528	Older man wearing beret with mountains in background.
S1529	Old man with sheep
S1530	A boy feeding a sheep hay.
S1531	A small boy feeds a large brown sheep in the stable.
S1532	A small boy feeds hay to a sheep in a pen
S1533	Boy feeding a sheep
S1534	There is a young boy with a red and blue jacket on feeding a sheep.
S1535	A large sheep standing on a hill.
S1536	a sheep in the mountains
S1537	A sheep standing in a mountainous area.
S1538	A sheep stands on a hillside.
S1539	The sheep is standing on the hill in front of the trees.
S1540	A person covered from head to toe tending six sheep in the pasture.
S1541	A woman is walking among sheep.
S1542	A woman is walking through the grass tending to her animals.
S1543	Person in grassy field tending to sheep.
S1544	The shaped looks over her flock.
S1545	Animals stand near plants and a wire fence.
S1546	One black and two white lambs graze near a fence.
S1547	One black sheep and two white sheep graze in the forest next to a fence.
S1548	Three goats feeding on greenery.
S1549	Two white goats and one black goat graze on plants.
S1550	A sheep in a patch of green grass.
S1551	A sheep standing in a field of grass and clover.
S1552	A white sheep on a hillside looking at the camera.
S1553	The sheep grazes in the country side.
S1554	This shaggy white sheep has a hillside of greenery to munch on.
S1555	A sheep is being sheared by two young ladies.
S1556	Two people cutting the wool off of a sheep.
S1557	Two women shearing a sheep on a table.
S1558	Two women sheering a sheep.
S1559	Two young women shear a sheep.
S1560	A black sheep, in front of a gray sheep, in front of a fence and a white sheep.
S1561	A black sheep stands in front of a gray-brown sheep.
S1562	Black and brown sheep standing on grass behind fence.
S1563	Two sheep are standing, looking at the camera, face opposite directions.
S1564	Two sheep, one black the other brown, look into the camera
S1565	A black and white photo of two rams in a pen.
S1566	Sheep gather in the pen.
S1567	Two rams stand on snowy ground.
S1568	Two sheep on a snowy day standing at the barn door.
S1569	Two sheep stand in a doorway.
S1570	Four goat kids laying on hay.
S1571	Four lambs cuddled together on hay.
S1572	Four lambs lay together in hay.
S1573	The lambs are sleeping on the hay.
S1574	Three white lambs and a spotted lamb cuddling in the hay
S1575	A black and white baby goat looks off to the side.
S1576	A sheep sits near a metal fence.
S1577	A small black and white goat in a pen looking up at the camera.
S1578	Black baby goat in fenced area.
S1579	Small goat is seated looking upward.
S1580	A white sheep and a black sheep in a field.
S1581	Black and white lambs grazing on grass.
S1582	Two lambs, one white and one black, graze on grass.
S1583	Two sheep, one black, the other white in a grassy field.
S1584	Two sheep, one brown one white, with ribbons around their necks.
S1585	Sheep being shaved on wooden floor.
S1586	Two farmers shaving their sheep
S1587	Two women are sheering a white sheep inside of a wooden building.
S1588	Two women in a barn finishing the job of shearing a sheep.
S1589	Two women shearing a white sheep in a wooden stall.
S1590	A young sheep with tags on it's ears.
S1591	Black sheep with tags in both ears.
S1592	Close up of a sheep
S1593	Close up of a white sheep with a black head.
S1594	The tagged sheep looks sad after being sheered.
S1595	Field of sheep and lambs under fluffy clouds.
S1596	many sheep grazing on green hills
S1597	Sheep in a large field.
S1598	The flock of sheep are spread out in the field.
S1599	The sheep graze in the countryside.
S1600	Adult and young lambs stand on grass.
S1601	Sheep and lambs in a field.
S1602	Two adult llamas and 3 calves are in a field.
S1603	Two adult white sheep and several lambs are standing in a grassy field.
S1604	Two sheep and three lambs in a pasture.
S1605	A large ram at the top of a hill.
S1606	Animal standing at the top of a rocky mountain.
S1607	A sheep looks down from a grassy slope.
S1608	The white sheep is standing on the green hill.
S1609	This sheep stands alone high on a rocky crag.
S1610	A close-up of a large white sheep.
S1611	A close-up of a sheep with its tongue hanging out.
S1612	Close up image of a sheep with it's tongue hanging out.
S1613	Close up of a sheep's face with it's mouth open.
S1614	Up close image of sheep with grass stuck in fur.
S1615	A goat stands on a rock with trees in the background.
S1616	A horned goat standing on a rock ledge.
S1617	A mountain goat is on snowy rocks near trees.
S1618	A ram standing on some rocks.
S1619	A white mountain goat stands on the jagged snow-covered rocks.
S1620	A brown sheep and black lamb stand side-by-side behind a fence.
S1621	A brown sheep and small black animal inside a pen.
S1622	A lamb drinking milk from a mother sheep inside a fence.
S1623	A large sheep and a small black lamb beside a fence.
S1624	A small black sheep stands beside a larger brown sheep behind a fence.
S1625	Lambs stand behind a barbed wire fence.
S1626	The fenced in sheep look out at the world beyond.
S1627	The flock of sheep are behind a barbed wire fence.
S1628	There are some sheep staring out from inside a barbed wire fence.
S1629	The white sheep stand behind the fence.
S1630	A black and white lamb with other lambs in the background.
S1631	A black and white sheep is walking next to a white sheep.
S1632	A close-up of a black and white farm animal in hay.
S1633	Black and white lamb with tag in right ear.
S1634	Little black and white calf with a tag on its ear.
S1635	A close-up of a lamb with its ear tagged, standing on grass.
S1636	A close-up of a sheep in the grass.
S1637	A lamb with a yellow tag in his ear looking at the camera.
S1638	A white sheep in a field of grass.
S1639	White lamb standing in grassy field.
S1640	A close-up of an animal with curved horns.
S1641	A close-up shot of a gray sheep
S1642	A sheep's face.
S1643	close up of a gray sheep's face
S1644	The face of a gray ram.
S1645	a group of lambs in the grass
S1646	A group of sheep are on a hill.
S1647	A group of sheep grazing on a hill.
S1648	Group of lambs in grassy field.
S1649	Many sheep standing on a green hill.
S1650	A large sheep standing between large trees in a rural area.
S1651	A ram stands in the middle of a group of trees.
S1652	A sheep standing in a forest.
S1653	a sheep under pine trees
S1654	The sheep is standing under the trees.
S1655	Children looking a sheep.
S1656	Children walking through farm looking at the sheep through red fencing.
S1657	Four children looking at barn animals.
S1658	Four children looking at sheep.
S1659	Four small children looking at sheep in wooden pens with red metal outer bars.
S1660	Three sheep are in the road as a car approaches.
S1661	Three sheep in middle of gravel road.
S1662	Three sheep in the road with an oncoming car.
S1663	Three sheep on a dirt road shot from a car.
S1664	Three sheep on a dirt road viewed from a passenger vehicle.
S1665	A black faced sheep
S1666	A black headed sheep covered in thick white wool stands in a pasture with other sheep.
S1667	A close-up of a sheep with a black head.
S1668	Sheep grazing on grass.
S1669	There is a black and white sheep standing on the grass.
S1670	A field of black faced sheep.
S1671	A flock of sheep on a grassy plain
S1672	A group of sheep in a field.
S1673	Several sheep grazing in the field.
S1674	Ten sheep looking at the camera.
S1675	A sheep eats grass.
S1676	A sheep eats grass.
S1677	A sheep grazing in a field
S1678	A sheep grazing near a fence.
S1679	the sheep is dyed blue and purple and is grazing on the grass
S1680	A sheep with a tree in the foreground.
S1681	Sheep resting peacefully on grass.
S1682	Two sheep sit in a green field by a tree.
S1683	White sheep lying down on grass.
S1684	Wooly sheep lying down in a pasture.
S1685	Distant view of two lambs perched on top of a rocky plain.
S1686	Two animals sitting on a rock.
S1687	Two sheep looking towards the camera while standing on top of a rocky ledge.
S1688	Two sheep on to of a cliff looking at the camera.
S1689	Two sheep standing on rocks.
S1690	A group of sheep and a sheep dog in a large field.
S1691	A group of sheep being herded by a dog in a pen
S1692	Group of sheep huddled together on gravel as dog watches.
S1693	Several sheep grazing in the field.
S1694	The group of sheep are standing in the sunshine under the watchful eye of the sheep dog.
S1695	A boy is sniffed through a fence by a black sheep.
S1696	A little boy looking at a sheep poking his head through the fence.
S1697	Black sheep sniffing a little boys knee.
S1698	The boy kneels in the grass and looks at the sheep as it sticks its head through the fence.
S1699	The sheep goes pokes through the fence to check out the boy.
S1700	A middle aged lady with brown hair holding a newborn baby.
S1701	A smiling woman holding a small baby.
S1702	a woman sitting on a sofa holding a baby
S1703	A women holds a small baby while sitting on a sofa.
S1704	Older woman holding newborn baby.
S1705	A woman is lying across the laps of two men sitting on a couch.
S1706	A women laying across two men sitting on a sofa.
S1707	three teenagers are on a couch, the girl is laying on two guys. both guys have beer.
S1708	Three young adults lounging on couch together.
S1709	Two guys sit on a couch holding beers with a girl lying on their laps.
S1710	a living room with a birdcage in the left corner and two lit lamps
S1711	A living room with a wood floor and red furniture.
S1712	A living room with red sofas and a bird cage in the corner.
S1713	A living room with sofa, love seat, chair and coffee table.
S1714	A room decorated with mostly red furniture, with hardwood floors.
S1715	A women holds a baby on a sofa with a small boy sitting next to her.
S1716	Older woman holding newborn baby on couch.
S1717	Woman holding newborn and sitting next to young boy.
S1718	Woman with infant, and child sitting next to her on couch.
S1719	Woman with short haircut sitting on brown couch is holding a baby while another child watches.
S1720	Four Asian young people sitting in a den or living room.
S1721	Group of kids sitting on brown couch together.
S1722	The girls watch highlights of the Laker game.
S1723	Three girls are sitting on a couch and smiling next to one sitting on the floor.
S1724	Three young teenagers sitting on a couch with another sitting on the floor.
S1725	A brown haired woman with a crying baby on her knee sitting on a couch.
S1726	A lady in a red sweater sitting on the couch holding her crying baby on her knee who is wearing blue pajamas with a blue elephant.
S1727	A woman holding a crying baby sits on a sofa.
S1728	A women in a red sweater holding a crying baby.
S1729	Mom tries to get her child to stop crying.
S1730	A grown man wears a baby bib and sits on the couch.
S1731	A man sitting on a sofa with a baby's bib around his neck.
S1732	A man wearing a baby's bib and holding a baby's toy.
S1733	A smiling man on a sofa is holding up a set of colorful rings.
S1734	Man wearing a bib sitting on a green couch.
S1735	A man in shorts and a blue polo shirt sits on the red-cushioned wicker couch.
S1736	A man sits on a red couch.
S1737	A man sitting on a couch holding a remote.
S1738	Man relaxing on red couch in living room.
S1739	The tanned man enjoys watching television in his apartment.
S1740	A bedroom decorated in beige and brown colors with a large bed, sofa, and rug.
S1741	A bedroom decorated in beige and chocolate.
S1742	A classy bedroom
S1743	The brown and beige themed bedroom has a sofa next to a wooden bed and a rug in front of the bed.
S1744	This room has a cream and brown bed and loveseat.
S1745	A guy and girl pose on a sofa with a tiny dog.
S1746	A man holds a small dog and is seated with a woman on a couch.
S1747	A smiling man and woman hold a young chihuahua.
S1748	The man and the woman are posing with a small dog.
S1749	To man and a woman sit on a couch, the man holding a pillow and a small dog.
S1750	A cramped and cluttered living room contains a plaid couch, many houseplants, and assorted knickknacks.
S1751	A living room adorned with plated on the right wall.
S1752	A room with a couch, television, bookcases, and various wall decorations.
S1753	a small living room with many plants and hanging plates
S1754	living room with dog bed in front of television.
S1755	A black and white photo of a living room with a large window, sofa, and chair.
S1756	a black and white photo of a modern living room facing a snowy view
S1757	A black and white scene of a well furnished room with a view outlooking a forest.
S1758	A living room with large windows overlooking the forest.
S1759	Black and white picture of a living room looking out over trees.
S1760	A bright red couch in a room with mostly wooden furniture.
S1761	A living room with a large red sofa behind a small wooden table.
S1762	A red couch with plaid pillows rests against a white wall.
S1763	Red sofa in den or living room.
S1764	The old red couch looks handsome in the den.
S1765	A hotel room with a flat panel on the wall and a wet bar.
S1766	A living room with a large screen TV and a man sitting on a sofa.
S1767	A man on a couch sits in a tidy living room with a large television.
S1768	A person sitting on a couch reading a magazine in a room with a large flatscreen television.
S1769	Living room or den with large screen television.
S1770	A dining table in front of a window with two sofas in the fore ground.
S1771	A living room
S1772	A living room with a dining table in the background.
S1773	Large living room with shiny tile covered floor.
S1774	View of a living room with a dining room in the background.
S1775	A couple posing for a picture on a couch.
S1776	A man and women smiling for the camera while sitting on a black and red sofa.
S1777	A young male and female couple sitting next to each other.
S1778	Young couple sitting on a black couch.
S1779	Young couple sitting on couch.
S1780	Teenagers hanging out in their room.
S1781	Two guys are sitting on a couch lazily.
S1782	Two guys sit on a loveseat.
S1783	Two men in shorts are sitting on a sofa.
S1784	Two young men sitting on couch on a boat.
S1785	A baby is being played with.
S1786	A close-up of a little girl wait ribbons in her hair.
S1787	A small child being held by a women looking into the camera.
S1788	A woman holds up a wide-eyed African-American baby.
S1789	Baby girl dressed in yellow and white.
S1790	A girl on a couch looking to the woman sitting next to her.
S1791	A mother and daughter sit on a brown couch with a baby pillow.
S1792	A woman with a white pillow sits on a sofa near a girl in a pink sweater.
S1793	A women sitting with her daughter.
S1794	The young girl looks admirably at her grandmother.
S1795	A white colored room with closed blinds and two dark sofas.
S1796	Living room with two black couches.
S1797	This is a white, empty room except for two black couches, which are opposite from each other.
S1798	Two black couches in an all white room.
S1799	Two black love seats facing each other.
S1800	A small efficiency apartment, complete with twin bed, soda, and entertainment center.
S1801	Blue couch and twin bed in a living room.
S1802	Picture of a dorm room
S1803	Red and white checkered floor with blue couch and red pillows in room.
S1804	This is the interior of someone's living room including a TV, light, cabinet, chair, guitar, and checkered floor pattern.
S1805	A blue, red, and white couch against a wall with accent tables.
S1806	A couch with an Union Jack motif sits behind some glass.
S1807	An English-themed furniture set.
S1808	a sofa with the union jack, a blond small table with a lamp
S1809	There is a red, white, and blue sofa and two tables in the room.
S1810	A black leather couch with a chew' lounge and a coffee table with light candles in glasses
S1811	A brown leather sofa with a wooden coffee table in front of it.
S1812	A leather couch and wooden table in a living room.
S1813	A living room with a brown leather couch and a coffee table.
S1814	The leather couch is behind the coffee table set with glasses and place mats.
S1815	a dark living room with a white couch and a fireplace
S1816	A living room containing a large cream sofa along with a chair and fireplace.
S1817	An empty room with a beige couch and blinds on the windows.
S1818	A room with a fireplace and large sofa.
S1819	Sun shining through the window of a tidy living room.
S1820	An empty college common space with empty chairs, a couch and a ping pong table.
S1821	A party room.
S1822	A recreation room with a ping pong table, chairs, and a striped couch.
S1823	A striped sofa and office chairs are near a ping pong table.
S1824	Room set up with going away decorations on wall.
S1825	A man and small child in a living room posing for the camera.
S1826	Daughter tickling father.
S1827	Man and child rocking out
S1828	Man making a funny face, and a child to his left side.
S1829	Man with a startled face with a laughing child.
S1830	An overweight woman in pajamas and bunny slippers is sitting on a green couch.
S1831	a woman seats on a couch. she has a white dress with flowers
S1832	A women sits on a sofa wearing a dress, slippers and hat.
S1833	Older woman dressed in white night gown on tan couch.
S1834	Woman in a floral nightgown sits on a couch.
S1835	There are two people sitting on a purple couch while smoking.
S1836	Two guys on a couch watching tv
S1837	Two guys sitting on a couch watching television, drinking, and smoking.
S1838	two men in black tops and blue jeans smoking cigarettes and watching TV
S1839	Two young men relaxing, watching television and drinking beer.
S1840	A blue couch with sparse surroundings.
S1841	A blue sofa in a modern room.
S1842	A large blue couch on a wooden floor with three pictures on a wall shelf behind.
S1843	Blue couch in room with sun shining in.
S1844	There is a blue sofa in the room with white and brown walls.
S1845	A brown dog resting on a white sofa cushion.
S1846	A tan dog is lying on a couch and has its head on a white pillow.
S1847	Brown dog with head on pillow on white sofa.
S1848	The brown dog is resting his head on a white pillow.
S1849	This is a picture of a dog resting its head on a white sofa.
S1850	A furry black dog and a small white dog lying down next to a brown leather couch
S1851	A large dog sleeping by the red couch while a small dog sleeps on the rug.
S1852	A leather couch between two dogs lying on their backs.
S1853	Two dogs lying down near a couch.
S1854	Two dogs, one large and one small laying near a red leather sofa.
S1855	A man in glasses holding a small dog.
S1856	A man sitting at a table with a dog on his lap.
S1857	A man with a blue shirt and graying hair sits at a table with a tan chihuahua on his lap.
S1858	an old man in a blue shirt sitting at a table with a chihuahua on his lap
S1859	Older man sitting at table with small dog.
S1860	The two dogs blend in with the stuff animals.
S1861	Two dogs and a set of stuffed animals rest on a leather couch.
S1862	Two dogs sit on a couch with many stuffed animals.
S1863	Two golden dogs laying on the couch with several stuffed animals.
S1864	Two golden retrievers on couch with many stuffed animals.
S1865	Two smiling young ladies sitting on a couch.
S1866	Two women on a rust-colored sofa smile into the camera.
S1867	Two women on a sofa in a cafe looking at the camera.
S1868	Two women sitting on a large sofa in a coffee shop.
S1869	Two women sitting on brown couch.
S1870	A living room with wooden floors and patterned sofas.
S1871	A matching furniture set in a living room.
S1872	A red, green, and white couch and ottoman in a living room with a hardwood floor.
S1873	Colorful furniture on wooden floor in room.
S1874	Matched flowered and plaid living room set.
S1875	Two women and a black dog are near a sofa and chair.
S1876	Two women in a room with a large black dog.
S1877	Two women reluctantly look at the camera in their home as a black dog looks on.
S1878	Two women stand in a living room with a black dog.
S1879	Two women standing in a living room with a black dog looking towards the camera.
S1880	A man and two women smiling at the camera while sitting on a blue sofa.
S1881	an older couple and a girl sitting on a blue futon
S1882	An older man sits with an older and a younger woman on a blue couch.
S1883	People sitting on acouch
S1884	The people are posing on a blue futon.
S1885	a blue couch with Power Puff Girls cushions with a brown coffee table in front
S1886	A living room containing a blue sofa with a wooden coffee table.
S1887	A living room with a window, sofa, coffee table, and yellow paint.
S1888	A room with cartoon pillows on a couch.
S1889	A tidy living room with sun shining through the windows.
S1890	A bright blue couch sits near a overturned chaise lounge and bench.
S1891	A living room with a blue sofa, camp bed, wooden bench and dresser.
S1892	An empty living room with a blue couch
S1893	A room with a blue sofa and an overturned cot.
S1894	A sparse room in an apartment is a little disheveled.
S1895	A couple holds a baby.
S1896	A man and women sitting on a sofa holding a small baby.
S1897	A middle eastern couple sitting on a couch holding their baby and displaying a gift.
S1898	Couple with newborn baby.
S1899	Indian couple and newborn
S1900	A black and wooden seating area.
S1901	A black couch
S1902	A black leather couch with glass doors behind.
S1903	A picture of of a black leather couch.
S1904	The black leather couch looks resting for future owner.
S1905	A bag of cotton in front of a couch.
S1906	A bag of white cotton leaning on a colorful couch
S1907	A giant polka bag filled with with cotton in sits on a tan rug in front of a paisley couch.
S1908	A polka bag of white cotton is sitting upright in from of a maroon couch.
S1909	Large bag of cotton in front of couch.
S1910	A woman and elderly woman sitting together posing on a couch.
S1911	Elderly woman sitting on red patterned couch with her arm around younger woman.
S1912	Two ladies, one younger and one older, sit on a living room sofa while smiling for the camera.
S1913	Two women pose together on a sofa.
S1914	Two women sitting on couch posing for camera.
S1915	A decorated room with blue carpeting, a cream sofa and chair, and a patio door.
S1916	A living room with a sofa, chair, coffee table, and a sliding glass door.
S1917	Living room with white couch and blue carpeting.
S1918	The living room in the apartment gets some afternoon sun.
S1919	There is a living room with blue carpet, white furniture, and coffee table.
S1920	A girl sits on the couch with her arms crossed.
S1921	A girl with arms crossed sitting on a sofa.
S1922	Black and white photo of a girl on a sofa.
S1923	Depressed woman sitting on couch.
S1924	This is a black and white photo of a woman on a sofa with her arms crossed.
S1925	A living room with a beige sofa and love seat, television, and coffee table.
S1926	A living room with two sofas and a large TV along with a palm in the corner.
S1927	Cream furniture and a television in a living room with palm tree decorations.
S1928	Living room with tan furniture and flat screen television.
S1929	The model home allows a comfortable seating arrangement to watch television,
S1930	A dark brown dog on a blue loveseat and a light brown puppy on a cream rug.
S1931	An adult basset hound lays on a blue couch while a basset hound puppy lays on a rug on the floor.
S1932	There are two dogs, one laying on a couch, one laying on the floor.
S1933	Two basset hounds lying down in room.
S1934	Two dogs in a living room sitting on the couch and on the floor.
S1935	A broken sofa sits beneath a concrete structure with graffiti.
S1936	A broken sofa underneath an underpass marked with graffiti.
S1937	A couch outside by graffiti covered walls and columns.
S1938	A couch sits outside by graffiti covered walls
S1939	An old sofa sitting underneath a concrete bridge.
S1940	A black and white photo of a love seat.
S1941	A black-and-white photo of a loveseat.
S1942	A loveseat is near a table.
